Countries,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Samoa,2607,1539,2320,2604,3240,3404,3948,3640,3456,3192,2964,4774,2912,2052,2548,3484,3278,3300,4266,3775,3400,4374,3456,4588,3267,2494,2730,2744,3072,4104,5264,4238,4810,3799,3219,4719,3026,2175,2618,3192,2976,3576,4840,4060,3580,4040,3540,4800,2900,2120,2580,3660,3940,4920,5080,4200,4600,3880,3420,4720,2900,1700,2500,3040,2840,4020,5340,4300,4680,4180,3000,5560,3560,2320,2580,3680,4080,4580,0
"Samoa, American",0,0,87,84,0,0,168,0,27,28,52,31,32,27,84,0,22,66,81,50,50,81,54,124,33,0,60,56,72,72,28,26,52,0,0,99,68,87,34,84,24,24,0,20,40,40,20,40,40,40,60,0,80,60,80,60,40,0,60,20,100,40,60,20,60,40,100,160,40,20,0,60,60,0,100,40,20,20,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,33,0,116,28,0,138,56,130,81,84,390,124,0,0,84,26,88,88,135,75,125,81,378,651,132,29,30,168,24,240,84,182,156,319,725,561,68,261,170,252,96,264,100,120,200,460,620,640,100,100,120,160,120,320,140,140,120,280,440,440,140,80,120,200,60,180,160,140,300,200,460,320,120,120,100,80,100,200,40
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,26,62,0,0,28,0,44,132,108,75,25,27,27,93,0,0,30,56,72,192,56,52,104,29,29,33,0,29,0,28,24,120,100,80,60,20,0,40,20,0,40,80,40,160,60,40,100,60,0,20,0,0,40,40,100,140,20,60,20,40,0,0,0,20,20,20,120,40,140
Seychelles,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,52,0,0,0,0,0,27,0,31,0,0,0,0,0,48,28,0,0,0,0,0,0,29,0,0,0,0,0,20,0,0,0,20,20,0,20,0,0,0,0,0,0,20,20,0,0,20,0,20,0,20,0,0,0,0,20,0,0,0,0,0,20,20,200
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,1254,1026,1015,1204,1056,1288,1372,1274,1134,1344,1300,1240,288,648,784,1144,1628,1496,1242,1450,1300,1431,1188,1209,990,638,1320,1260,1200,1344,1176,1196,1248,1276,1682,1485,680,696,1700,1988,2112,1608,2820,1640,1400,1820,1920,1760,1360,1220,1140,1560,1140,1620,1660,1240,1660,1380,1400,1740,1100,980,1340,1660,1260,1440,2140,1280,1880,1820,1460,1940,1240,1120,1540,1940,2380,1520,120
Slovakia,0,0,29,0,24,69,0,26,81,0,26,31,0,0,0,0,0,176,54,25,50,0,0,0,0,0,0,28,24,48,28,26,26,29,29,0,0,0,0,0,0,48,20,0,0,0,0,0,0,0,0,0,60,0,20,20,0,0,0,40,0,0,0,0,80,120,20,40,20,20,0,20,0,0,20,40,40,20,0
Slovenia,0,27,0,84,0,69,0,26,27,56,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,28,26,0,0,29,0,0,0,0,0,24,24,40,0,0,0,0,40,0,0,0,0,20,40,0,20,0,0,0,0,0,20,20,60,20,0,40,20,0,20,0,0,0,20,0,20,20,40,420
Solomon Islands,66,81,174,0,0,115,140,0,108,56,0,62,64,54,140,130,88,176,81,100,175,81,0,62,0,87,120,168,96,96,140,78,208,174,58,165,170,116,204,84,72,96,120,40,140,140,160,180,120,60,80,80,80,260,100,160,100,80,180,80,20,100,100,240,120,80,300,100,160,100,160,280,60,20,40,200,120,120,40
Somalia,0,0,29,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
South Africa,891,864,1131,1316,888,690,952,884,891,868,1066,2387,384,837,952,1170,1144,1122,1188,1125,875,594,1161,3007,726,870,1380,1540,720,1608,896,910,1794,1015,1711,3036,680,1044,1020,1736,816,1032,1100,900,780,920,1900,3000,760,760,1280,1140,900,1140,1020,900,1520,1020,1360,3580,740,600,1100,1180,680,1060,1340,900,1100,860,1380,3060,860,1040,1300,1520,980,1060,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,20,20,20,20,0,0,0,0,0
Spain,198,81,174,308,648,621,308,572,837,140,182,155,64,135,392,390,396,572,432,425,550,216,189,310,132,87,420,336,624,480,252,364,1118,493,145,330,204,87,238,588,768,576,620,620,820,360,280,280,80,200,300,340,680,720,780,680,1000,200,220,300,200,140,340,520,680,940,940,800,1020,440,200,340,160,180,220,880,1220,1220,0
Sri Lanka,132,162,145,336,216,115,84,130,243,168,416,589,160,54,280,208,176,198,162,125,0,216,594,806,231,203,300,224,96,480,224,286,234,203,435,660,170,348,476,504,312,408,320,280,140,320,640,1080,160,200,220,340,300,320,300,500,320,200,380,820,360,200,380,460,280,280,300,420,360,180,740,1040,440,180,220,440,480,300,120
St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Lucia,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0
St Maarten (Dutch Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,20,0,0,0,0
St Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
St Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,26,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Sudan,33,0,0,28,0,0,28,0,0,0,26,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,34,0,0,0,24,0,0,0,0,20,0,0,40,20,0,0,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,20,0,20,0,0,0,20,20,0,0
Suriname,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,29,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,0,20,0,20,0,20,0,0,0,0,0,0,20,0,0,0,0,0
Sweden,66,27,29,84,264,437,252,182,216,56,104,155,96,0,28,26,88,440,189,200,100,27,27,124,33,29,30,56,312,456,224,78,52,58,87,0,34,0,102,140,264,336,300,80,40,40,40,140,20,40,140,100,160,380,320,160,160,80,20,180,20,40,80,120,220,400,560,200,240,40,140,120,100,40,40,100,400,360,460
Switzerland,132,81,290,364,408,644,504,286,189,28,104,434,256,189,140,286,374,484,405,300,250,162,270,310,165,87,270,168,504,288,560,286,130,0,87,231,204,174,170,196,456,312,520,240,400,100,220,460,180,220,120,260,380,500,500,340,160,200,160,560,160,120,160,200,420,560,560,400,260,140,260,400,60,140,180,240,400,460,20
